汉字,ch1,ch2,ja1,ja2
一,y,i,∅,iti
一,y,i,∅,itu
右,y,ou,∅,yū
右,y,ou,∅,u
雨,y,u,∅,u
円,y,üan,∅,en
王,w,ang,∅,ō
音,y,in,∅,on
音,y,in,∅,in
下,x,ia,k,a
下,x,ia,g,e
火,h,uo,k,a
花,h,ua,k,a
貝,b,ei,k,ai
学,x,üe,g,aku
気,k,i,k,i
九,j,iu,k,yū
九,j,iu,k,u
休,x,iu,k,yū
玉,y,u,g,yoku
金,j,in,k,in
金,j,in,k,on
空,k,ong,k,ū
月,y,üe,g,etu
犬,q,üan,k,en
見,j,ian,k,en
五,w,u,g,o
口,k,ou,k,ō
口,k,ou,k,u
校,x,iao,k,ō
左,z,uo,s,a
三,s,an,s,an
山,sh,an,s,an
子,z,i,s,i
子,z,i,s,i
四,s,i,s,i
糸,m,i,k,ē(ei)
字,z,i,z,i
耳,∅,er,z,i
七,q,i,s,iti
車,ch,e,s,ya
手,sh,ou,t,e
十,sh,i,z,yū
出,ch,u,s,yutu
女,n,ü,z,yo
女,n,ü,n,yo
小,x,iao,s,yō
小,x,iao,z,yō
上,sh,ang,z,yō
上,sh,ang,s,yō
森,s,en,s,in
人,r,en,z,in
人,r,en,n,in
水,sh,ui,s,ui
正,zh,eng,s,ē(ei)
正,zh,eng,s,yō
生,sh,eng,s,ē(ei)
生,sh,eng,s,yō
青,q,ing,s,ē(ei)
夕,x,i,s,eki
石,sh,i,s,eki
石,sh,i,s,yaku
石,sh,i,k,oku
赤,ch,i,s,eki
赤,ch,i,s,yaku
千,q,ian,s,en
川,ch,uan,s,en
先,x,ian,s,en
早,z,ao,s,yō
早,z,ao,s,atu
草,c,ao,s,yō
足,z,u,s,oku
村,c,un,s,on
大,d,a,d,ai
大,d,a,t,ai
男,n,an,d,an
男,n,an,t,an
竹,zh,u,t,aku
中,zh,ong,t,yū
中,zh,ong,z,yū
虫,ch,ong,t,yū
町,t,ing,t,yō
天,t,ian,t,en
田,t,ian,d,en
土,t,u,d,o
土,t,u,t,o
二,∅,er,n,i
日,r,i,n,iti
日,r,i,z,itu
入,r,u,n,yū
年,n,ian,n,en
白,b,ai,h,aku
白,b,ai,b,yaku
八,b,a,h,ati
八,b,a,∅,ya
百,b,ai,h,yaku
文,w,en,b,un
文,w,en,m,on
木,m,u,m,oku
木,m,u,b,oku
本,b,en,h,on
名,m,ing,m,ē(ei)
名,m,ing,m,yō
目,m,u,m,oku
目,m,u,b,oku
立,l,i,r,itu
立,l,i,r,yū
力,l,i,r,iki
力,l,i,r,yoku
林,l,in,r,in
六,l,iu,r,oku
引,y,in,∅,in
羽,y,u,∅,u
雲,y,ün,∅,un
園,y,üan,∅,en
遠,y,üan,∅,en
何,h,e,k,a
科,k,e,k,a
夏,x,ia,k,a
家,j,ia,k,a
家,j,ia,k,e
歌,g,e,k,a
画,h,ua,k,aku
画,h,ua,g,a
回,h,ui,k,ai
会,h,ui,k,ai
海,h,ai,k,ai
絵,h,ui,k,ai
外,w,ai,g,ai
角,j,iao,k,aku
楽,l,e,r,aku
楽,l,e,g,aku
活,h,uo,k,atu
間,j,ian,k,an
間,j,ian,g,en
丸,w,an,g,an
岩,y,an,g,an
顔,y,an,g,an
汽,q,i,k,i
記,j,i,k,i
帰,g,ui,k,i
弓,g,ong,k,yū
牛,n,iu,g,yū
魚,y,u,g,yo
京,j,ing,k,yō
強,q,iang,k,yō
教,j,iao,k,yō
近,j,in,k,in
兄,x,iong,k,yō
兄,x,iong,k,ē(ei)
形,x,ing,k,ē(ei)
計,j,i,k,ē(ei)
元,y,üan,g,en
元,y,üan,g,an
言,y,an,g,en
原,y,üan,g,en
戸,h,u,k,o
古,g,u,k,o
午,w,u,g,o
後,h,ou,g,o
後,h,ou,g,ō
語,y,u,g,o
工,g,ong,k,ō
工,g,ong,k,u
公,g,ong,k,ō
広,g,uang,k,ō
交,j,iao,k,ō
光,g,uang,k,ō
考,k,ao,k,ō
高,g,ao,k,ō
黄,h,uang,k,ō
合,h,e,g,ō
谷,g,u,k,oku
国,g,uo,k,oku
黒,h,ei,k,oku
今,j,in,k,on
今,j,in,k,in
才,c,ai,s,ai
細,x,i,s,ai
作,z,uo,s,aku
作,z,uo,s,a
算,s,uan,s,an
止,zh,i,s,i
市,sh,i,s,i
矢,sh,i,s,i
姉,z,i,s,i
思,s,i,s,i
紙,zh,i,s,i
寺,s,i,z,i
自,z,i,z,i
時,sh,i,z,i
室,sh,i,s,itu
社,sh,e,s,ya
弱,r,uo,z,yaku
首,sh,ou,s,yu
秋,q,iu,s,yū
週,zh,ou,s,yū
春,ch,un,s,yun
書,sh,u,s,yo
少,sh,ao,s,yō
場,ch,ang,z,yō
色,s,e,s,yoku
食,sh,i,s,yoku
心,x,in,s,in
新,x,in,s,in
親,q,in,s,in
図,t,u,z,u
数,sh,u,s,ū
数,sh,u,s,u
西,x,i,s,ē(ei)
西,x,i,s,ai
